antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.03817293649594601,0.03474845142770811,0.02286347383794128,0.5989445910290239,17.236583687048302,1.0,0.021537023408258915,2.4067785322953865,0.9793692637458474,0.4567404426559356,0.5845068473972623,0.6284578027608887
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03474845142770811,0.03817293649594601,0.02286347383794128,0.6579710144927536,17.2365836870483,1.0,0.021537023408258915,2.8121214992279544,0.9758946923504951,0.4567404426559356,0.6443965880298764,0.6284578027608887
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.03157576673213476,0.03736717530341945,0.023064914136072923,0.7304625199362043,19.548240240395156,1.0,0.021885016925253364,3.5714247401464867,0.9797818637636336,0.5027442371020857,0.7199996996271624,0.6738565968953258
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.03736717530341945,0.03157576673213476,0.023064914136072923,0.6172506738544474,19.548240240395156,1.0,0.021885016925253364,2.5301788066364646,0.9856764446860933,0.5027442371020857,0.6047710156384691,0.6738565968953258
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03082036561414111,0.024827516744724783,0.020345470111295765,0.6601307189542484,26.588672791631865,1.0,0.019580276967932138,2.8692574988087904,0.9929944514326726,0.5763195435092725,0.6514777776427654,0.7398016677935542
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.024827516744724783,0.03082036561414111,0.020345470111295765,0.8194726166328601,26.58867279163187,1.0,0.019580276967932138,5.36860179496886,0.9868920790033973,0.5763195435092725,0.8137317614174436,0.7398016677935542
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03082036561414111,0.03414413053331319,0.023971395477665306,0.7777777777777778,22.779252704031467,1.0,0.022919060891051633,4.34635141260009,0.9865048435586238,0.5847665847665847,0.769921963258425,0.73992133726647
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03414413053331319,0.03082036561414111,0.023971395477665306,0.7020648967551623,22.779252704031467,1.0,0.022919060891051633,3.252989069869368,0.9898996670465464,0.5847665847665847,0.6925904211414526,0.73992133726647
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.04673414916654077,0.03983481895553206,0.020043309664098303,0.42887931034482757,10.766443066393476,1.0,0.018181663293008323,1.6811948830363515,0.9515905907051238,0.30128690386071155,0.4051849609523362,0.4660199333013645
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.03983481895553206,0.04673414916654077,0.020043309664098303,0.5031605562579013,10.766443066393476,1.0,0.018181663293008323,1.918659765926886,0.9447528737783115,0.30128690386071155,0.4788028509489749,0.4660199333013645
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04089238052072317,0.07287102784912122,0.025482197713652618,0.623152709359606,8.551446682621766,1.0,0.022502327913910138,2.4602245927663846,0.9207107775738137,0.28864803194523675,0.5935330445276314,0.48642086055402556
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.07287102784912122,0.04089238052072317,0.025482197713652618,0.3496890117484451,8.551446682621766,1.0,0.022502327913910138,1.47484455407706,0.9524680477399935,0.28864803194523675,0.3219624419159293,0.48642086055402556
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03625925366369542,0.07287102784912122,0.020546910409427407,0.5666666666666667,7.776295784381478,1.0,0.017904661325911907,2.1395283972712584,0.9041892976033492,0.23194997157475838,0.532607278652906,0.42431467403824
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.07287102784912122,0.03625925366369542,0.020546910409427407,0.2819626814098134,7.776295784381478,1.0,0.017904661325911907,1.3421875456675965,0.9398951976227754,0.23194997157475838,0.2549476388542961,0.42431467403824
